"Code type","Count","Date","Time","Unix time","Scanned or generated","Starred","Name","Code data"
"EAN-13","1","2022-11-01","16:05:32","1667318732.305242","1","0","","9781408855942"
"EAN-13","1","2022-11-01","16:05:29","1667318729.398833","1","0","","9781408855959"
"EAN-13","1","2022-11-01","16:05:24","1667318724.250311","1","0","","9781473205321"
"EAN-13","1","2022-11-01","16:05:21","1667318721.581669","1","0","","9781473205338"
"EAN-13","1","2022-11-01","16:05:18","1667318718.211696","1","0","","9781473200203"
"EAN-13","1","2022-11-01","16:05:09","1667318709.674193","1","0","","9781473200104"
"EAN-13","1","2022-11-01","16:05:04","1667318704.243948","1","0","","9781473200210"
"EAN-13","1","2022-11-01","16:05:02","1667318702.012342","1","0","","9781473200135"
"EAN-13","1","2022-11-01","16:04:59","1667318699.379843","1","0","","9780552131063"
"EAN-13","1","2022-11-01","16:04:57","1667318697.201633","1","0","","9780140054729"
"EAN-13","1","2022-11-01","16:04:53","1667318693.020431","1","0","","9781529411690"
